Feature,Importances
Sales,0.8056775576709677
Discount,0.10966483918398662
Quantity,0.022735171619855915
Category_Technology,0.009387726489179942
Region_West,0.008857249028018774
Category_Office Supplies,0.00857677020572119
Region_South,0.007426181723484244
Segment_Corporate,0.006853906972047972
Region_East,0.005995908365344089
Ship Mode_Standard Class,0.005468732915838007
Ship Mode_Second Class,0.004837309244942347
Segment_Home Office,0.003635312558733581
Ship Mode_Same Day,0.0008833340218796083
